Процессор,"Общий объем SSD, ГБ",Видеокарта,Операционная система,"Диагональ экрана, дюймы",Технология матрицы,Тип памяти,Цена,"Оперативная память, ГБ"
Intel Core i5-1135G7 (2.4 ГГц),512,Intel Iris Xe Graphics,Без системы,15.6,IPS,DDR4,51775,8
Intel Core i3-1115G4 (3.0 ГГц),256,Intel UHD Graphics,Без системы,15.6,IPS,DDR4,41460,8
Intel Core i7-13700H (2.4 ГГц),1024,NVIDIA GeForce RTX 4060 для ноутбуков (8 Гб),Windows Pro,16.0,IPS,DDR5,137935,16
Intel Core i5-13500H (2.6 ГГц),512,,Windows Home,15.6,OLED,LPDDR5,112435,16
AMD Ryzen 7 7840H (3.8 ГГц),1024,NVIDIA GeForce RTX 4060 для ноутбуков (8 Гб),Windows Pro,16.0,IPS,DDR5,118217,16
Intel Core i7-13700H (2.4 ГГц),1024,NVIDIA GeForce RTX 4060 для ноутбуков (8 Гб),Windows Pro,16.0,IPS,DDR5,137935,16
,512,,Windows Home,17.3,IPS,DDR4,87484,16
Intel Core i7-12650H (2.3 ГГц),1000,NVIDIA GeForce RTX 3050 для ноутбуков (4 Гб),Windows Home,15.6,,DDR5,109576,16
Intel Core i7-9750H (2.6 ГГц),512,NVIDIA GeForce GTX 1650 (4 Гб),Windows Home,15.6,IPS,DDR4,50602,16
AMD Ryzen 5 7520U (2.8 ГГц),512,AMD Radeon Graphics,Без системы,15.6,IPS,,40082,16
AMD Ryzen 7 5700U (1.8 ГГц),512,AMD Radeon RX 640 (2 Гб),Без системы,15.6,IPS,DDR4,48703,8
Intel Core i5-10210U (1.6 ГГц),512,Intel UHD Graphics,Windows Home,14.0,IPS,DDR4,49277,8
Intel Core i3-1115G4 (3.0 ГГц),256,Intel UHD Graphics,Без системы,15.6,OLED,DDR4,50162,8
Intel Core i3-1005G1 (1.2 ГГц),250,Intel UHD Graphics,Без системы,14.0,IPS,LPDDR4,40177,8
AMD Ryzen 7 6800H (3.2 ГГц),1024,Radeon RX 6850M XT (12 Гб),Без системы,16.0,IPS,DDR5,78789,16
Intel Core i5-1135G7 (2.4 ГГц),512,Intel Iris Xe Graphics,Без системы,15.6,TN,DDR4,50377,8
AMD Ryzen 7 7840HS (3.8 ГГц),512,NVIDIA GeForce RTX 4060 для ноутбуков (8 Гб),Windows Pro,15.6,IPS,DDR5,102008,16
Intel Core i7-13700H (2.4 ГГц),1024,NVIDIA GeForce RTX 4060 для ноутбуков (8 Гб),Windows Pro,16.0,IPS,DDR5,137935,16
AMD Ryzen 7 7840H (3.8 ГГц),1024,NVIDIA GeForce RTX 4060 для ноутбуков (8 Гб),Windows Home,16.0,IPS,DDR5,150327,16
AMD Ryzen 5 7520U (2.8 ГГц),512,AMD Radeon Graphics,Без системы,15.6,IPS,,40082,16
Intel Core i5-12500H (2.5 ГГц),512,Intel Iris Xe Graphics,Без системы,15.6,OLED,DDR4,65262,16
AMD Ryzen 5 5600H (3.3 ГГц),512,AMD Radeon Graphics,Без системы,16.0,,DDR4,62090,16
